gap=(3, 'right') | true vx,vy=( 0.088,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.088,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.088,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.088,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.088,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.088,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.088,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.088,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.088,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.089,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.089,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.089,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.089,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.089,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.089,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.090,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.090,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.090,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.090,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.091,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.091,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.091,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.092,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.092,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.092,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.092,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.093,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.093,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.093,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.093,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.094,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.094,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.094,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.094,  0.000) | pred vx,vy=( 0.094, -0.002)
gap=(3, 'right') | true vx,vy=( 0.112, -0.003) | pred vx,vy=( 0.095, -0.002)
gap=(3, 'right') | true vx,vy=( 0.127, -0.005) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.140, -0.007) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.151, -0.008) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.161, -0.010) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.169, -0.011) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.176, -0.012) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.182, -0.013) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.186, -0.013) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.190, -0.014) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.193, -0.014) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.194, -0.014) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.195, -0.014) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.195, -0.014) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.194, -0.014) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.193, -0.014) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.191, -0.013) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.189, -0.013) | pred vx,vy=( 0.095, -0.003)
gap=(3, 'right') | true vx,vy=( 0.187, -0.012) | pred vx,vy=( 0.095, -0.003)
