session_id,run_id,time,gap_id,side,x,y,vx,vy,ns
dgap_26-05-05_10-40-58,0,7.130000,10,left,3.973522,-2.321338,-0.241601,0.078630,simp
dgap_26-05-05_10-40-58,0,7.130000,11,right,4.641390,-0.925084,-0.058558,0.180116,simp
dgap_26-05-05_10-40-58,0,7.165000,10,left,3.995647,-2.268833,-0.237751,0.081555,simp
dgap_26-05-05_10-40-58,0,7.165000,11,right,4.613998,-0.860779,-0.089813,0.178242,simp
dgap_26-05-05_10-40-58,0,7.205000,10,left,4.017425,-2.216324,-0.233066,0.084357,simp
dgap_26-05-05_10-40-58,0,7.205000,11,right,4.592342,-0.798437,-0.121945,0.176179,simp
dgap_26-05-05_10-40-58,0,7.245000,10,left,4.038844,-2.163798,-0.227655,0.087022,simp
dgap_26-05-05_10-40-58,0,7.245000,11,right,4.576210,-0.737784,-0.153436,0.173625,simp
dgap_26-05-05_10-40-58,0,7.280000,10,left,4.059866,-2.111230,-0.221639,0.089539,simp
dgap_26-05-05_10-40-58,0,7.285000,11,right,4.565419,-0.678561,-0.183036,0.170390,simp
dgap_26-05-05_10-40-58,0,7.325000,10,left,4.080515,-2.058628,-0.215039,0.091888,simp
dgap_26-05-05_10-40-58,0,7.325000,11,right,4.559988,-0.620548,-0.209585,0.166362,simp
dgap_26-05-05_10-40-58,0,7.365000,10,left,4.143887,-2.090599,-0.199809,0.078020,simp
dgap_26-05-05_10-40-58,0,7.365000,11,right,4.560058,-0.563541,-0.232164,0.161505,simp
dgap_26-05-05_10-40-58,0,7.405000,10,left,4.155156,-2.032582,-0.186689,0.067154,simp
dgap_26-05-05_10-40-58,0,7.405000,11,right,4.565456,-0.507299,-0.249948,0.155843,simp
dgap_26-05-05_10-40-58,0,7.445000,10,left,4.162362,-1.973056,-0.176214,0.059195,simp
dgap_26-05-05_10-40-58,0,7.445000,11,right,4.571712,-0.451161,-0.263138,0.149529,simp
dgap_26-05-05_10-40-58,0,7.480000,10,left,4.160923,-1.910076,-0.169715,0.054409,simp
dgap_26-05-05_10-40-58,0,7.480000,11,right,4.577299,-0.394949,-0.272239,0.142738,simp
dgap_26-05-05_10-40-58,0,7.525000,10,left,4.150466,-1.843831,-0.168301,0.052952,simp
dgap_26-05-05_10-40-58,0,7.525000,11,right,4.582187,-0.338666,-0.277610,0.135612,simp
dgap_26-05-05_10-40-58,0,7.560000,10,left,4.130420,-1.774443,-0.173170,0.054914,simp
dgap_26-05-05_10-40-58,0,7.560000,11,right,4.586363,-0.282322,-0.279741,0.128285,simp
dgap_26-05-05_10-40-58,0,7.600000,10,left,4.100595,-1.702215,-0.185216,0.060276,simp
dgap_26-05-05_10-40-58,0,7.600000,11,right,4.589690,-0.225919,-0.278954,0.120865,simp
